mes_ultimo_unico_robo,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
enero,cosquilleo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,atraco,madrugada,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,descuido,mañana,Trabajo/Estudio,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,descuido,noche,Residencia propia,no,no,si,no,no,no,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,noche,Calle/Avenida,si,si,si,no,no,no,si,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,atraco,mañana,Otro lugar,no,si,si,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,raponazo,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,cosquilleo,tarde,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,raponazo,mañana,Calle/Avenida,si,si,si,si,no,no,no,no,si,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,cosquilleo,mañana,Mercado/Comercio,si,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,raponazo,noche,Calle/Avenida,si,si,si,no,no,no,no,no,si,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,fleteo,noche,Transporte público,si,si,si,si,no,si,si,no,si,no,si,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,atraco,noche,Calle/Avenida,no,si,si,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,cosquilleo,mañana,Calle/Avenida,si,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,cosquilleo,noche,Entretenimiento,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,descuido,tarde,Entretenimiento,no,si,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,raponazo,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,raponazo,tarde,Transporte público,si,no,no,no,no,no,no,no,si,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,descuido,tarde,Mercado/Comercio,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,atraco,tarde,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,cosquilleo,mañana,Otro lugar,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,tarde,Trabajo/Estudio,si,si,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,tarde,Calle/Avenida,no,si,si,no,no,no,si,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,cosquilleo,tarde,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,atraco,tarde,Vehículo,si,si,si,no,no,si,no,no,no,no,no,si,denuncias en línea,fiscalia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,si,2018
marzo,raponazo,mañana,Vehículo,si,si,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,raponazo,mañana,Transporte público,si,si,si,no,no,no,no,no,si,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,mañana,Calle/Avenida,si,no,no,no,no,no,si,no,si,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,raponazo,mañana,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,descuido,noche,Parque/Deporte,si,si,si,si,no,no,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,descuido,noche,Residencia propia,no,no,no,no,si,no,no,no,no,no,no,si,denuncias en línea,fiscalia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,raponazo,tarde,Mercado/Comercio,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,atraco,mañana,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,atraco,noche,Calle/Avenida,si,si,no,no,si,si,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,cosquilleo,noche,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,noche,Calle/Avenida,si,si,no,no,no,no,si,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,cosquilleo,mañana,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,cosquilleo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,atraco,tarde,Transporte público,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,cosquilleo,mañana,Transporte público,si,no,no,no,no,no,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,mañana,Transporte público,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,si,2018
marzo,cosquilleo,mañana,Transporte público,si,si,no,no,no,no,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,cosquilleo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,tarde,Calle/Avenida,si,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,atraco,mañana,Calle/Avenida,si,si,si,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,atraco,madrugada,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,raponazo,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,cosquilleo,tarde,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,atraco,madrugada,Parque/Deporte,si,si,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,descuido,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,raponazo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,tarde,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,descuido,noche,Residencia propia,si,si,si,si,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,mañana,Transporte público,si,si,no,no,no,si,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,atraco,tarde,Calle/Avenida,si,si,si,no,no,no,si,no,no,no,si,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,cosquilleo,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,raponazo,tarde,Calle/Avenida,no,si,no,no,no,no,no,no,si,no,no,si,denuncias en línea,fiscalia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,atraco,noche,Calle/Avenida,si,si,si,no,no,no,si,no,si,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,atraco,madrugada,Calle/Avenida,si,si,si,si,no,no,si,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,raponazo,tarde,Calle/Avenida,si,si,si,no,no,no,no,no,si,no,si,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,si,si,denuncias en línea,fiscalia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,descuido,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,fiscalia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
