DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400412,237,3,1,3,"77,205174913537",octubre,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,,,,no,2018
400419,237,1,1,1,"77,0396491185773",diciembre,este municipio,cosquilleo,tarde,Mercado/Comercio,si,si,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
400424,237,3,1,3,"47,9600840918656",septiembre,este municipio,descuido,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,miedo a represalias,no,2018
400428,237,2,1,2,"70,7421951258033",agosto,este municipio,raponazo,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400434,237,1,1,1,"78,2861832648578",febrero,este municipio,cosquilleo,tarde,Mercado/Comercio,no,si,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
400436,237,2,1,2,"65,1421272842288",agosto,otro,atraco,mañana,Calle/Avenida,si,si,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400460,237,1,1,1,"294,521970839845",noviembre,este municipio,atraco,noche,Carretera/Trocha,no,si,no,no,no,si,no,no,no,no,no,si,Fiscalía,fiscalia,justicia,si,,,si,2018
400460,237,4,1,4,"294,521970839845",octubre,este municipio,cosquilleo,mañana,Calle/Avenida,si,si,no,no,no,,,,,,no,no,,,,,,desaconsejado por autoridades,no,2018
400461,237,1,1,1,"151,731356932532",agosto,este municipio,atraco,mañana,Calle/Avenida,si,si,si,no,no,si,no,no,si,no,no,si,Estación de Policía,fiscalia,recuperar bienes,no,info imprecisa,,no,2018
400467,237,1,1,1,"538,697259447726",junio,otro,atraco,tarde,Vehículo,si,si,si,no,no,si,no,no,si,no,si,si,Fiscalía,fiscalia,obligacion_ciudadana,si,,,no,2018
400470,237,1,1,1,"1234,69601677148",octubre,este municipio,descuido,tarde,Calle/Avenida,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400470,237,5,1,5,"1234,69601677148",enero,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,si,no,no,no,,,,,,desaconsejado por autoridades,no,2018
400470,237,6,1,6,"1234,69601677148",febrero,otro,atraco,mañana,Residencia propia,si,si,si,si,si,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400473,237,1,1,1,"729,493669171193",septiembre,este municipio,descuido,mañana,Trabajo/Estudio,no,no,no,si,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400482,237,2,1,2,"319,45790928718",marzo,este municipio,descuido,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
400488,237,5,1,5,"332,394540876024",mayo,este municipio,cosquilleo,tarde,Transporte público,si,no,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
400491,237,7,1,7,"204,431708188619",mayo,este municipio,descuido,madrugada,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
400494,237,3,1,3,"346,582752648726",abril,este municipio,atraco,tarde,Transporte público,si,si,no,no,no,si,no,no,no,no,no,si,Estación de Policía,policia,justicia,no,espera excesiva,,no,2018
400497,237,1,1,1,"354,609722040021",abril,este municipio,cosquilleo,tarde,Transporte público,si,no,no,no,no,,,,,,no,no,,,,,,consideró innecesario,no,2018
400501,237,2,1,2,"320,852444630629",octubre,este municipio,fleteo,mañana,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
400506,237,5,1,5,"4562,48364802821",noviembre,este municipio,descuido,tarde,Entretenimiento,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
