DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400345,237,2,1,2,"40,7178562024391",8,1,3,4,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,2.0,1.0,,,2,2018
400362,237,1,1,1,"71,3237399876491",3,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400375,237,1,1,1,"183,667387428592",9,1,4,4,2,1,2,2,2,2,1.0,1.0,2.0,2.0,2.0,2,1,3.0,1.0,2.0,1.0,,,2,2018
400380,237,5,1,5,"86,4904051302732",9,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,1.0,2,2018
400381,237,1,1,1,"137,103677437511",11,2,4,3,2,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400382,237,4,1,4,"55,7829820361952",3,1,7,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400385,237,1,1,1,"21,8911094034605",9,1,1,3,5,2,1,2,2,2,,,,,,2,1,1.0,1.0,4.0,1.0,,,2,2018
400387,237,1,1,1,"21,26391692282",12,1,3,3,2,2,2,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,5.0,2,2018
400396,237,2,1,2,"74,0249639856668",6,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,5.0,1.0,6.0,,,,2,2018
400400,237,3,1,3,"69,2664684819138",5,1,4,2,3,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,7.0,1.0,,,2,2018
400400,237,4,1,4,"69,2664684819138",5,1,2,3,7,2,2,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,5.0,2,2018
400411,237,2,1,2,"82,9853686078911",2,1,3,2,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,1,2018
400412,237,3,1,3,"77,205174913537",10,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,4.0,1.0,6.0,,,,2,2018
400419,237,1,1,1,"77,0396491185773",12,1,1,3,3,1,1,2,2,2,,,,,,2,2,,,,,,3.0,2,2018
400424,237,3,1,3,"47,9600840918656",9,1,7,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2,2018
400428,237,2,1,2,"70,7421951258033",8,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400434,237,1,1,1,"78,2861832648578",2,1,1,3,3,2,1,2,2,2,,,,,,2,2,,,,,,3.0,2,2018
400436,237,2,1,2,"65,1421272842288",8,2,4,2,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400460,237,1,1,1,"294,521970839845",11,1,4,4,10,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,2.0,2.0,2.0,1.0,,,1,2018
400460,237,4,1,4,"294,521970839845",10,1,1,2,2,1,1,2,2,2,,,,,,2,2,,,,,,8.0,2,2018
400461,237,1,1,1,"151,731356932532",8,1,4,2,2,1,1,1,2,2,1.0,2.0,2.0,1.0,2.0,2,1,1.0,2.0,5.0,2.0,1.0,,2,2018
400467,237,1,1,1,"538,697259447726",6,2,4,3,9,1,1,1,2,2,1.0,2.0,2.0,1.0,2.0,1,1,2.0,2.0,1.0,1.0,,,2,2018
400470,237,1,1,1,"1234,69601677148",10,1,7,3,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400470,237,5,1,5,"1234,69601677148",1,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,1.0,2.0,2,2,,,,,,8.0,2,2018
