DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto
503309,237,1,1,1,"452,339324795689",8,2,7,9,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503317,237,1,1,1,"452,339324795689",9,1,4,4,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,3.0,1.0,1.0,1.0,,,2
503321,237,3,1,3,"544,124315854549",11,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
503321,237,5,1,5,"544,124315854549",8,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
503326,237,2,1,2,"273,224935947157",5,1,4,2,2,1,2,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503326,237,3,1,3,"273,224935947157",8,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503334,237,2,1,2,"229,476424252793",4,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503337,237,1,1,1,"286,756270287422",11,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503339,237,2,1,2,"318,811484225221",12,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503350,237,1,1,1,"1085,06255805645",5,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,2,,,,,,4.0,2
503360,237,2,1,2,"1980,33714711627",8,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,,1.0,,,,2
503368,237,2,1,2,"979,451147926706",6,1,1,2,2,1,2,2,2,2,,,,,,2,1,4.0,,1.0,,,,2
503375,237,3,1,3,"869,164391657582",10,1,4,4,2,1,1,1,2,1,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,4.0,2
503375,237,4,1,4,"869,164391657582",11,1,1,3,5,1,2,2,2,2,,,,,,2,1,4.0,,1.0,,,,2
503377,237,1,1,1,"991,05484544792",1,1,4,2,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,1,1,4.0,,6.0,,,,2
503383,237,2,1,2,"1115,27922251626",9,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
503384,237,5,1,5,"823,463647845391",3,1,4,4,5,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503387,237,1,1,1,"1057,76220240125",9,1,4,4,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,1,2.0,2.0,6.0,1.0,,,2
503390,237,4,1,4,"765,530547448552",6,2,2,4,3,1,1,2,2,2,2.0,2.0,2.0,2.0,1.0,1,2,,,,,,8.0,2
503396,237,1,1,1,"774,580941210907",8,1,4,3,2,1,1,1,1,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503397,237,2,1,2,"971,893378795103",2,1,4,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503398,237,2,1,2,"990,168573558135",3,1,1,4,5,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
503401,237,1,1,1,"983,213617740569",11,1,1,2,5,1,2,2,2,2,,,,,,2,1,4.0,,6.0,,,,2
