DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto
513766,237,2,1,2,"493,120388025459",6,2,3,2,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513773,237,2,1,2,"471,782680708131",12,2,3,2,2,1,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,1,1.0,1.0,5.0,1.0,,,2
513785,237,1,1,1,"330,048861178355",3,2,1,2,5,1,2,2,2,2,,,,,,2,2,,,,,,7.0,2
513786,237,2,1,2,"307,922112371567",10,2,3,3,2,1,1,2,1,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
513786,237,4,1,4,"307,922112371567",10,2,3,3,2,1,1,2,1,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
513817,237,1,1,1,"357,595320898151",5,1,7,2,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513820,237,4,1,4,"386,785638025875",2,1,1,3,4,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
513846,237,2,1,2,"1649,87046748919",9,1,7,1,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513872,237,2,1,2,"61,2028267728291",1,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,1.0,2.0,2,1,3.0,1.0,1.0,1.0,,,2
513872,237,5,1,5,"61,2028267728291",7,1,4,3,2,2,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
513874,237,5,1,5,"51,8850531766137",5,2,2,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,4.0,2.0,4.0,,2
513875,237,3,1,3,"58,98565189966",6,1,7,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513879,237,2,1,2,"73,4881547792288",6,1,1,3,2,1,2,2,2,2,,,,,,2,2,,,,,,1.0,2
513884,237,2,1,2,"66,8234946535406",7,1,3,4,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,1,1,3.0,1.0,2.0,1.0,,,2
513895,237,2,1,2,"63,4469170139796",11,1,1,3,3,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
513895,237,3,1,3,"63,4469170139796",7,1,1,1,8,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
513900,237,3,1,3,"66,7499814458803",10,1,3,4,2,1,2,2,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
513901,237,2,1,2,"63,0758011809537",5,1,1,2,9,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
513904,237,5,1,5,"61,2835977003359",7,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,1.0,1.0,,,2
513915,237,3,1,3,"66,7499814458803",7,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,1.0,2.0,2,1,3.0,1.0,3.0,1.0,,,2
513917,237,5,1,5,"71,0955650883614",7,1,7,3,3,2,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,1.0,2
513927,237,3,1,3,"55,9303492745663",1,1,4,4,2,1,1,1,2,2,2.0,1.0,1.0,1.0,2.0,2,2,,,,,,6.0,2
513945,237,6,1,6,"69,1214404542165",7,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513949,237,7,2,3,"56,2745497396109",11,1,7,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513951,237,3,1,3,"63,1867552788842",11,1,1,1,6,1,2,1,2,2,,,,,,2,2,,,,,,6.0,2
513956,237,1,1,1,"66,428706431413",1,1,7,2,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
513957,237,2,1,2,"58,1736925771925",9,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
513978,237,1,1,1,"67,3740400452315",1,2,3,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
513988,237,1,1,1,"64,1544330198387",8,1,2,2,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,1.0,2.0,3.0,,2
513999,237,1,1,1,"73,5952845748383",12,1,2,4,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,2.0,1.0,,,1
514008,237,1,1,1,"67,1210972789062",4,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514048,237,2,1,2,"60,735094072824",1,1,2,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514073,237,2,1,2,"72,1181715048041",6,1,4,3,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,4.0,2.0,1.0,,2
514074,237,1,1,1,"63,566187630303",9,1,4,4,6,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,10.0,2
514074,237,2,1,2,"63,566187630303",10,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,1
514076,237,2,1,2,"73,014460981422",6,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,1,4.0,,1.0,,,,2
514081,237,2,1,2,"61,974439075972",9,1,7,4,6,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,1.0,,,2
514091,237,2,1,2,"51,923538047446",6,1,7,2,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
514104,237,2,1,2,"64,679761600995",6,1,4,3,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,2,1,5.0,1.0,1.0,,,,2
514105,237,1,1,1,"63,6394487324689",6,1,7,2,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,,5.0,,,,2
514112,237,2,1,2,"69,1482660696977",8,1,2,3,2,2,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
514113,237,1,1,1,"60,1836583870191",5,1,1,3,5,2,1,2,2,2,,,,,,2,2,,,,,,6.0,2
514125,237,1,1,1,"73,3370449065971",10,1,7,4,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514126,237,1,1,1,"65,8406339876964",12,1,3,4,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,1,1,5.0,1.0,2.0,,,,2
514193,237,2,1,2,"71,6934221324365",11,1,4,3,3,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,3.0,2.0,1.0,,2
514201,237,2,1,2,"59,9946897433156",5,1,3,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514227,237,1,1,1,"63,9814703789027",7,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514234,237,2,1,2,"52,3212666992465",4,1,7,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514239,237,2,1,2,"69,9889641174847",12,2,3,4,2,1,2,2,1,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514243,237,2,1,2,"52,3212666992465",8,1,7,4,7,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,1,2,,,,,,8.0,2
514253,237,1,1,1,"65,8698604122337",11,1,4,1,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
514253,237,3,1,3,"65,8698604122337",9,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
514264,237,2,1,2,"59,6709492131925",10,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514267,237,1,1,1,"72,0061736130643",2,1,1,3,2,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
514270,237,2,1,2,"58,7797388915361",3,1,1,2,3,1,1,2,2,2,,,,,,2,2,,,,,,6.0,2
514290,237,1,1,1,"61,5228395238916",12,1,4,4,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,2.0,2.0,,2
514296,237,2,1,2,"62,2775082431443",2,1,3,4,4,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,1.0,,,2
514297,237,2,1,2,"60,6316292022353",4,1,1,3,2,2,1,2,2,2,,,,,,2,1,2.0,2.0,6.0,1.0,,,2
514311,237,2,1,2,"70,4638587653343",4,2,7,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514315,237,1,1,1,"61,5228395238916",2,1,7,2,7,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514319,237,2,1,2,"64,0149436673209",8,1,7,2,5,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,5.0,1.0,6.0,,,,1
514321,237,1,1,1,"58,6662765949676",12,1,1,3,2,2,2,2,1,2,,,,,,2,2,,,,,,8.0,2
514323,237,1,1,1,"786,667366070734",11,1,4,4,5,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514327,237,2,1,2,"633,202442838453",6,1,4,4,2,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514338,237,1,1,1,"322,879028041788",11,2,3,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514340,237,3,1,3,"271,677051002387",4,1,4,3,2,1,1,2,2,1,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514345,237,2,1,2,"297,816028005244",12,1,1,4,2,1,1,2,2,2,,,,,,2,2,,,,,,3.0,2
514348,237,3,1,3,"318,463918750605",5,1,9,3,7,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,10.0,2
514349,237,1,1,1,"314,008425757185",2,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514356,237,4,1,4,"356,320456547382",6,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514356,237,1,1,1,"356,320456547382",4,1,4,4,2,2,1,2,2,2,1.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
514389,237,1,1,1,"326,861088597566",11,2,3,3,2,1,1,1,1,2,2.0,2.0,2.0,1.0,2.0,1,1,1.0,2.0,5.0,1.0,,,2
514412,237,1,1,1,"339,485733151222",6,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,7.0,2
514450,237,1,1,1,"330,843149153345",9,1,7,2,2,2,1,2,1,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,1
514450,237,2,1,2,"330,843149153345",6,1,4,2,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
514450,237,3,1,3,"330,843149153345",8,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,1
514458,237,3,1,3,"327,788836257445",6,1,4,3,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,6.0,1.0,,,2
514470,237,2,1,2,"349,523325148178",8,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514472,237,2,1,2,"338,192206872872",9,1,1,2,5,2,1,2,2,2,,,,,,1,1,4.0,,6.0,,,,2
514478,237,2,1,2,"302,918096219092",11,1,5,3,9,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,2.0,2.0,3.0,,1
514496,237,1,1,1,"362,346887950383",9,1,3,4,3,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514504,237,2,1,2,"347,276335642499",6,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
514514,237,1,1,1,"303,182627585413",5,1,1,9,2,2,2,1,2,2,,,,,,2,2,,,,,,3.0,2
514535,237,2,1,2,"46,5390595524177",4,1,3,3,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,2.0,2.0,,2
514556,237,1,1,1,"43,3683604740404",3,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
514556,237,4,1,4,"43,3683604740404",6,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514565,237,2,1,2,"31,7802605719525",2,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514567,237,2,1,2,"46,0671943187283",3,1,7,3,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514581,237,6,1,6,"24,0376690026899",11,1,7,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
514585,237,1,1,1,"34,4873411031512",8,1,7,3,1,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514596,237,1,1,1,"44,4753779422617",12,1,3,4,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,5.0,1.0,,,2
514596,237,2,1,2,"44,4753779422617",8,1,4,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514605,237,3,1,3,"48,1623176794584",7,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,3.0,1.0,2.0,2.0,3.0,,2
514606,237,1,1,1,"46,5303857617489",9,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514622,237,1,1,1,"47,4570730858101",3,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
514626,237,2,1,2,"37,6072778098651",11,1,4,4,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,2.0,1.0,1.0,,,2
514638,237,5,1,5,"853,578226901297",5,2,7,1,8,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,6.0,1.0,,,2
514650,237,2,1,2,"928,120952434545",10,1,4,4,10,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,1.0,,,2
514682,237,1,1,1,"110,82622467435",6,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514693,237,1,1,1,"136,432464686947",12,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
514695,237,1,1,1,"115,864079401478",11,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,1.0,2.0,3.0,,2
514702,237,2,1,2,"121,293087080305",9,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514737,237,1,1,1,"95,6159204173318",2,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514759,237,3,1,3,"124,896846892628",6,1,3,4,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514797,237,1,1,1,"91,2032828452719",11,1,4,4,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
514826,237,1,1,1,"79,225566884601",5,1,3,1,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,1,1,5.0,1.0,4.0,,,,2
514836,237,6,1,6,"226,175934783329",4,1,4,4,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,2.0,1.0,,,2
514845,237,2,1,2,"93,5406476495305",2,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514930,237,4,1,4,"2291,90617256249",6,1,7,2,1,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
514937,237,1,1,1,"1509,08760409149",4,1,4,2,10,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
514937,237,2,1,2,"1509,08760409149",4,1,4,2,10,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
514944,237,3,1,3,"641,843539100395",2,1,4,4,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,2.0,1.0,,,2
514947,237,1,1,1,"428,143998402289",5,1,4,4,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,1.0,2
514951,237,2,1,2,"713,606025633304",11,1,4,3,2,1,1,2,2,2,1.0,1.0,2.0,2.0,2.0,1,1,1.0,1.0,2.0,1.0,,,2
514958,237,3,1,3,"923,334114544222",6,1,4,4,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,2.0,2.0,6.0,1.0,,,2
514959,237,1,1,1,"549,980463951759",11,1,4,4,7,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2
514959,237,3,1,3,"549,980463951759",8,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2
514959,237,4,1,4,"549,980463951759",11,1,4,4,7,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,6.0,2
514963,237,1,1,1,"460,519046295618",3,2,4,9,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
514980,237,2,1,2,"747,178966117988",6,1,7,2,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,3.0,1.0,,,2
514986,237,2,1,2,"459,798588292569",3,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
514995,237,2,1,2,"1267,89557123551",6,1,1,2,5,1,1,2,2,2,,,,,,2,2,,,,,,4.0,2
514995,237,3,1,3,"1267,89557123551",10,1,9,1,6,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
514996,237,2,1,2,"1001,43534053919",1,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,1.0,,,2
515000,237,2,1,2,"459,798588292569",5,1,1,2,5,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
515002,237,1,1,1,"1111,46346951911",2,1,1,2,5,1,2,2,2,2,,,,,,2,1,4.0,,1.0,,,,2
515006,237,1,1,1,"1090,02861825625",12,1,1,4,5,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
515020,237,1,1,1,"968,733722295278",12,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
515028,237,2,1,2,"958,01629666385",10,1,4,4,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
515034,237,1,1,1,"911,467305360152",9,1,1,2,5,1,1,2,2,2,,,,,,2,2,,,,,,8.0,2
515036,237,3,1,3,"849,665152829196",6,1,3,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515039,237,4,1,4,"931,039439415821",7,1,7,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515041,237,1,1,1,"880,477375118372",9,1,3,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
515041,237,2,1,2,"880,477375118372",3,1,4,1,2,1,2,2,2,2,1.0,2.0,2.0,1.0,2.0,2,2,,,,,,7.0,2
515049,237,1,1,1,"1043,869840676",4,1,4,2,1,1,2,2,1,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515049,237,2,1,2,"1043,869840676",6,1,1,3,2,2,1,2,2,2,,,,,,2,1,1.0,1.0,2.0,2.0,4.0,,2
515050,237,3,1,3,"944,559137327509",7,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
515055,237,3,1,3,"1013,65219148831",8,2,1,2,5,2,1,2,2,2,,,,,,2,1,1.0,1.0,5.0,1.0,,,2
515062,237,1,1,1,"1138,79591194553",7,1,4,1,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515062,237,4,1,4,"1138,79591194553",6,1,1,2,5,1,2,2,2,2,,,,,,2,2,,,,,,4.0,2
515062,237,5,1,5,"1138,79591194553",7,1,1,1,5,1,2,2,2,2,,,,,,2,2,,,,,,4.0,2
515069,237,2,1,2,"537,606726225048",12,2,1,3,5,2,1,2,2,2,,,,,,1,1,5.0,1.0,6.0,,,,2
515072,237,2,1,2,"1418,97509006103",8,1,8,3,11,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,1
515076,237,1,1,1,"1791,01357253608",4,1,3,2,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,,1.0,,,,2
515134,237,1,1,1,"728,105614359139",11,1,1,3,5,1,2,2,2,2,,,,,,2,2,,,,,,7.0,2
515158,237,1,1,1,"62,5438286753268",11,1,4,3,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,1,2,,,,,,7.0,2
515164,237,3,1,3,"84,1415990738252",12,1,7,4,6,2,2,2,1,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515176,237,3,1,3,"72,9476556906414",10,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515176,237,5,1,5,"72,9476556906414",10,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515177,237,3,1,3,"61,7437913948035",12,1,7,4,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
515186,237,2,1,2,"72,7811237319609",6,1,7,2,6,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,2.0,3.0,,2
515201,237,1,1,1,"59,3520827172958",6,2,2,2,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
515201,237,2,1,2,"59,3520827172958",12,1,3,3,7,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,1
515206,237,2,1,2,"62,7683898897163",10,1,1,4,2,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
515228,237,1,1,1,"67,0598534904618",8,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
515244,237,2,1,2,"53,0793722950879",8,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,4.0,,4.0,,,,2
515246,237,1,1,1,"75,9162466651119",2,1,4,3,2,2,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515246,237,2,1,2,"75,9162466651119",5,1,4,4,1,2,1,2,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
515261,237,3,1,3,"74,5316166047538",11,1,4,4,7,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
515265,237,1,1,1,"75,1224021188687",10,1,4,2,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
515268,237,2,1,2,"62,1465427679767",5,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
515286,237,2,1,2,"65,6752234301037",3,1,3,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,,1.0,,,,2
515298,237,2,1,2,"73,5749682782042",11,1,4,4,7,1,1,1,1,2,1.0,1.0,2.0,2.0,2.0,2,1,2.0,2.0,5.0,2.0,3.0,,2
515319,237,1,1,1,"2669,03143334631",7,1,7,1,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
515328,237,1,1,1,"1317,02630243856",3,1,7,9,7,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,1
515335,237,3,1,3,"84,6917434628947",2,1,7,9,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
515346,237,2,1,2,"91,3359642255424",12,1,4,4,2,1,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
515347,237,3,1,3,"92,0464413358518",12,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,4.0,,5.0,,,,2
515348,237,3,1,3,"103,699340382034",12,1,4,4,3,1,1,2,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
515407,237,1,1,1,"265,914168720476",12,1,3,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,1
515455,237,1,1,1,"229,977890715188",9,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515463,237,3,1,3,"87,8098298252271",8,1,4,3,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515473,237,2,1,2,"72,5762520213666",11,1,4,2,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515492,237,1,1,1,"74,2078335195596",3,1,7,3,11,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,1.0,2.0,3.0,,2
515492,237,2,1,2,"74,2078335195596",2,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
515495,237,1,1,1,"86,8976122363706",3,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,1.0,2.0,1.0,,2
515512,237,2,1,2,"115,180327511316",3,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,7.0,2
515512,237,3,1,3,"115,180327511316",5,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,7.0,2
515514,237,3,3,1,"57,8601920722923",6,1,3,2,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,1.0,1.0,,,2
515520,237,5,1,5,"107,29929098316",1,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515531,237,5,1,5,"58,3522686645883",6,1,1,2,3,1,2,2,2,2,,,,,,2,2,,,,,,7.0,2
515541,237,3,1,3,"132,397467486239",7,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,3.0,1.0,3.0,1.0,,,2
515541,237,4,1,4,"132,397467486239",7,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
515554,237,2,1,2,"285,236058606968",11,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
