DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318;FEX_C
400396;237;2;1;2;6;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;5;1;6; ; ; ;2;74,0249639856668
400400;237;3;1;3;5;1;4;2;3;1;1;2;2;2;1;2;2;2;2;2;1;3;1;7;1; ; ;2;69,2664684819138
400400;237;4;1;4;5;1;2;3;7;2;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;69,2664684819138
400411;237;2;1;2;2;1;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;1;82,9853686078911
400412;237;3;1;3;10;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;1;4;1;6; ; ; ;2;77,205174913537
400419;237;1;1;1;12;1;1;3;3;1;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;77,0396491185773
400424;237;3;1;3;9;1;7;3;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;2;2;47,9600840918656
400428;237;2;1;2;8;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;70,7421951258033
400434;237;1;1;1;2;1;1;3;3;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;78,2861832648578
400436;237;2;1;2;8;2;4;2;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;65,1421272842288
400460;237;1;1;1;11;1;4;4;10;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1; ; ;1;294,521970839845
400460;237;4;1;4;10;1;1;2;2;1;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;8;2;294,521970839845
400461;237;1;1;1;8;1;4;2;2;1;1;1;2;2;1;2;2;1;2;2;1;1;2;5;2;1; ;2;151,731356932532
400467;237;1;1;1;6;2;4;3;9;1;1;1;2;2;1;2;2;1;2;1;1;2;2;1;1; ; ;2;538,697259447726
400470;237;1;1;1;10;1;7;3;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1234,69601677148
400470;237;5;1;5;1;1;4;4;2;1;2;2;2;2;1;2;2;1;2;2;2; ; ; ; ; ;8;2;1234,69601677148
400470;237;6;1;6;2;2;4;2;7;1;1;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1234,69601677148
400473;237;1;1;1;9;1;7;2;1;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;729,493669171193
400482;237;2;1;2;3;1;7;3;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;319,45790928718
400488;237;5;1;5;5;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;332,394540876024
400491;237;7;1;7;5;1;7;1;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;204,431708188619
400494;237;3;1;3;4;1;4;3;5;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;3; ;2;346,582752648726
400497;237;1;1;1;4;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;354,609722040021
400501;237;2;1;2;10;1;5;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;320,852444630629
400506;237;5;1;5;11;1;7;3;6;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;4562,48364802821
400509;237;2;1;2;11;1;3;3;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;5;2;3; ;2;6395,50251585536
400513;237;2;1;2;7;2;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;3189,58667390584
400532;237;2;1;2;8;1;3;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;57,1123378711453
400542;237;2;1;2;12;1;7;2;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;41,994250549993
400547;237;2;1;2;3;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1; ; ;2;35,2281408992657
400552;237;4;1;4;10;1;4;4;2;1;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;125,077982743136
400553;237;1;1;1;2;1;7;2;2;2;2;1;2;2;2;2;2;2;2;2;1;5;1;6; ; ; ;2;129,080641972591
400554;237;5;1;5;11;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;5;1; ; ;2;115,955885194186
400555;237;3;1;3;12;1;4;4;5;2;2;1;2;2;1;2;2;1;2;2;2; ; ; ; ; ;5;2;162,916693826129
400555;237;6;1;6;12;1;4;4;5;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;162,916693826129
400556;237;2;1;2;5;1;4;2;9;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2;121,799919142606
400559;237;1;1;1;5;1;4;3;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1; ; ;2;114,844498108996
400563;237;1;1;1;2;1;4;3;6;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;121,602242191204
400564;237;1;1;1;8;1;4;2;2;1;2;2;2;2;1;2;2;2;2;1;1;2;1;1;2;1; ;2;109,560352002315
