DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318;FEX_C
409679;237;1;1;1;9;1;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2;77,3893357322951
409691;237;1;1;1;4;1;4;4;2;1;1;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;5;2;37,7769177342714
409703;237;5;1;5;11;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;35,3281456521367
409707;237;2;1;2;1;1;3;2;2;1;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;26,9662264812571
409720;237;3;1;3;10;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;5;1; ; ;2;40,7034234926275
409722;237;2;1;2;10;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;47,4611042491396
409723;237;2;1;2;8;1;4;4;2;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;43,1521871455975
409723;237;4;1;4;12;1;4;4;6;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;43,1521871455975
409726;237;2;1;2;12;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;49,7440245474861
409726;237;3;1;3;12;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;49,7440245474861
409774;237;1;1;1;11;1;7;2;1;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;763,142981450096
409787;237;2;1;2;3;1;7;4;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;5;1; ; ;2;678,76038788837
409793;237;4;1;4;3;1;1;4;3;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;724,075107693216
409804;237;2;1;2;6;1;7;3;1;1;2;2;2;2;2;2;2;2;2;2;1;5;2;1; ; ; ;2;441,234391842427
409806;237;1;1;1;1;1;2;4;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;441,234391842427
409810;237;4;1;4;6;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;1;5; ; ; ;2;1125,77668164901
409811;237;2;1;2;1;1;3;3;2;1;1;1;2;2;2;1;2;2;2;2;1;5;1;6; ; ; ;2;1055,58436114686
409820;237;2;1;2;12;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;1;5;1;6; ; ; ;2;758,784597874813
409820;237;3;1;3;6;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;758,784597874813
409825;237;1;1;1;1;1;4;3;3;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;746,196741297377
409827;237;1;1;1;10;1;1;2;5;2;2;2;1;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;729,109598858261
409827;237;2;1;2;1;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;729,109598858261
409839;237;5;1;5;10;1;4;4;5;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;729,147972106911
409841;237;3;1;3;2;2;4;1;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;7;2;613,020681525629
409844;237;1;1;1;10;1;4;4;5;1;1;1;2;2;1;1;2;2;2;1;1;2;1;4;2;4; ;2;814,642588945788
409847;237;10;1;10;3;1;4;2;5;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;1725,78166340841
409847;237;2;1;2;3;1;4;3;5;2;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;1725,78166340841
409848;237;1;1;1;2;1;3;3;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;1097,27680511214
409855;237;7;1;7;12;1;7;3;7;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;495,731107601879
409862;237;2;1;2;10;1;4;4;5;1;2;2;2;2;1;1;2;2;2;2;2; ; ; ; ; ;3;2;681,46652917404
409864;237;3;1;3;10;1;1;2;5;2;1;2;2;2; ; ; ; ; ;2;1;5;1;6; ; ; ;2;618,590376653333
409873;237;3;1;3;4;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;1171,33767618131
409880;237;1;1;1;6;1;4;4;2;1;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;2;2;1251,47373839533
409881;237;1;1;1;3;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;1;3;1;4;1; ; ;2;948,635821401367
409883;237;2;1;2;6;1;4;3;4;1;2;2;2;2;2;1;2;2;2;2;1;3;1;5;1; ; ;2;1537,94402953732
409885;237;1;1;1;4;1;1;3;5;2;2;2;1;2; ; ; ; ; ;2;2; ; ; ; ; ;1;2;1501,80114369332
409885;237;2;1;2;12;1;4;4;5;1;1;2;2;2;1;2;2;2;2;2;1;4;1;5; ; ; ;2;1501,80114369332
409887;237;1;1;1;9;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;1109,25663882467
409889;237;2;1;2;9;1;2;1;8;2;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;2;2;1189,74706403789
409894;237;1;1;1;11;1;1;1;5;1;2;2;2;2; ; ; ; ; ;2;1;1;1;6;1; ; ;2;1240,0528670111
409895;237;1;1;1;10;1;4;4;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;1458,12307415457
409897;237;1;1;1;5;2;2;4;11;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;1111,34635186164
409898;237;2;1;2;12;1;6;1;6;1;1;1;2;2;2;2;2;2;1;2;1;4;1;5; ; ; ;2;1013,37195416195
409902;237;2;1;2;4;1;4;2;2;1;1;2;1;2;2;1;2;2;2;1;1;5;1;6; ; ; ;2;726,251793743059
409904;237;2;1;2;7;1;4;3;4;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;576,660968872468
409905;237;1;1;1;10;2;4;2;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;743,338936182175
409906;237;1;1;1;8;2;3;4;5;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2;729,109598858261
409919;237;1;1;1;5;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;889,595907590382
409937;237;2;1;2;6;1;4;4;10;1;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;5;2;628,642946927226
409947;237;1;1;1;3;2;5;2;9;2;1;1;2;2;1;2;2;2;2;1;1;1;1;6;2;2; ;2;305,657358198357
409950;237;3;1;3;5;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2; ;2;531,717426732919
409961;237;1;1;1;3;2;1;2;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;430,317243467421
409961;237;2;1;2;5;1;7;4;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;5;2;1; ;2;430,317243467421
409979;237;2;1;2;8;2;1;3;2;1;2;2;2;2; ; ; ; ; ;2;1;1;1;1;1; ; ;2;557,393220475568
409991;237;1;1;1;12;1;7;4;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;71,7270804006555
409995;237;1;2;1;9;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;5;2;2; ;2;53,387862667438
410014;237;2;1;2;9;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;1;2;1;5;1; ; ;2;95,1482889625233
410021;237;4;1;4;8;1;4;3;2;2;2;1;1;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;51,0054593735997
410025;237;2;1;2;2;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;56,5982744436048
410049;237;4;1;4;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;58,5317061245524
410056;237;2;1;2;2;1;4;1;2;1;1;1;2;2;2;1;2;2;2;1;1;3;1;5;1; ; ;2;68,8023848144549
410063;237;2;1;2;11;1;3;4;2;1;1;2;2;2;2;2;2;2;2;2;1;5;1;6; ; ; ;2;70,4292279589009
410066;237;1;1;1;3;1;4;2;1;1;1;2;2;2;1;2;2;2;2;1;1;3;1;5;2;4; ;2;60,715118227913
410069;237;2;1;2;6;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;1;3;1;4;1; ; ;2;65,1421272842288
410076;237;2;1;2;10;1;4;2;4;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2;481,406759457846
410077;237;2;1;2;4;1;4;2;5;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;432,978165901415
410087;237;2;1;2;4;1;4;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;442,899681349183
410087;237;4;1;4;6;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;442,899681349183
410090;237;3;1;3;8;1;4;4;2;1;2;2;2;2;1;2;2;2;2;1;1;4;1;6; ; ; ;2;282,856358779183
410096;237;1;1;1;6;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;1;1;385,668573412173
410099;237;3;1;3;10;1;7;1;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;273,817865892815
410103;237;1;1;1;2;1;4;3;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2;274,941577368441
410108;237;1;2;1;6;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;601,637412974717
410111;237;1;1;1;7;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;1;5;1;3; ; ; ;2;256,457970304776
410111;237;3;1;3;3;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;1;5;1;1; ; ; ;2;256,457970304776
410112;237;1;1;1;9;1;4;3;1;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;466,682997388745
410121;237;1;1;1;2;1;4;4;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;4;1; ; ;2;282,873493472313
410121;237;2;1;2;9;1;4;3;2;2;1;1;2;2;1;2;2;2;2;1;1;1;1;1;2;1; ;2;282,873493472313
410141;237;2;1;2;8;1;7;4;11;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;255,35139352228
410148;237;4;1;4;4;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;1;4;1;6; ; ; ;2;31,2089340046359
410150;237;1;1;1;9;1;2;1;5;2;1;2;2;2;2;2;1;1;2;2;2; ; ; ; ; ;2;2;44,5498208556944
410154;237;2;1;2;4;1;4;2;2;2;1;1;2;2;2;1;2;1;2;1;2; ; ; ; ; ;3;2;53,5104787647176
410154;237;3;1;3;9;1;3;3;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2;53,5104787647176
410161;237;1;1;1;4;1;3;2;4;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;44,5498208556944
410163;237;3;1;3;7;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2;35,4713126346392
410168;237;3;1;3;6;1;4;3;2;1;2;2;2;2;2;1;2;2;2;1;1;5;1;4; ; ; ;2;45,7227546361414
410174;237;3;1;3;12;1;1;4;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2;50,9045313977038
410176;237;1;1;1;4;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;49,0312782783873
410176;237;2;1;2;2;1;1;3;11;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2;49,0312782783873
410178;237;2;1;2;7;1;3;4;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2;63,2179744955249
410180;237;1;1;1;8;1;4;4;2;2;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;39,7336912646424
410182;237;2;1;2;8;1;4;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;31,2741901460338
410189;237;1;1;1;6;1;1;2;1;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;65,7626145854763
410189;237;2;1;2;1;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;65,7626145854763
410195;237;1;1;1;1;1;3;3;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1; ; ;2;61,1783384072382
410197;237;1;1;1;3;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;49,9851332661447
410198;237;1;1;1;2;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;44,5498208556944
410199;237;1;1;1;2;1;1;4;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;54,6932172355183
410200;237;1;1;1;10;1;1;3;2;1;1;1;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;39,7650024741184
410200;237;4;1;4;12;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;39,7650024741184
410201;237;2;1;2;8;1;4;3;7;1;1;2;2;2;1;2;2;2;2;2;1;1;1;4;2;3; ;2;63,2179744955249
410206;237;1;1;1;8;1;4;2;3;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;41,7733273529291
410208;237;2;1;2;8;1;4;3;2;1;2;2;2;2;2;1;2;2;2;1;1;2;2;4;2;4; ;2;72,1548435968834
410209;237;4;1;4;11;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;393,595488091818
410214;237;1;1;1;12;1;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;9;2;64,9530703153246
410216;237;2;1;2;11;1;1;1;7;1;1;1;2;2; ; ; ; ; ;2;2; ; ; ; ; ;9;2;61,6487078814808
410219;237;1;1;1;9;1;9;3;2;2;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;36,2726950869887
410223;237;3;1;3;11;1;7;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2;63,0170712069799
410230;237;3;1;3;11;1;7;4;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2;63,9711289278173
410234;237;3;1;3;10;1;4;4;2;1;2;2;2;2;2;2;2;1;2;2;1;3;1;5;1; ; ;1;63,0755822885723
410251;237;1;1;1;12;1;4;2;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;45,4973682091641
410255;237;3;1;3;1;1;7;2;2;1;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;2;2;50,0944280346324
410259;237;4;1;4;3;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;1;3;2;2;2;3; ;2;41,8408076332997
410266;237;3;1;3;9;1;4;2;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;57,1084346107508
410269;237;1;1;1;11;1;3;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;1;72,2247493291499
410273;237;2;1;2;2;1;7;3;1;2;2;2;1;2;2;2;2;2;2;2;1;4;1;1; ; ; ;2;51,4249581282132
410317;237;1;1;1;2;1;7;1;6;1;2;1;2;2;2;2;2;2;2;2;1;2;1;5;2;5; ;2;62,2146191374722
410318;237;2;1;2;5;1;3;4;6;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;1;44,2918576948186
410327;237;1;1;1;3;1;7;2;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;44,5854784553508
410338;237;2;1;2;1;1;7;4;2;2;2;2;1;2;2;2;2;2;2;2;1;4;1;6; ; ; ;2;820,589440301343
410341;237;1;1;1;2;1;4;1;2;2;2;1;2;2;1;1;2;2;2;2;2; ; ; ; ; ;3;2;571,107811811764
410349;237;1;1;1;11;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;5;1; ; ;1;29,5525262815013
410353;237;3;1;3;8;1;7;9;11;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;60,4650208362783
410357;237;2;1;2;11;1;4;2;5;1;2;1;2;2;1;2;2;2;2;2;1;1;1;5;1; ; ;2;109,349625927812
410358;237;3;1;3;2;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;125,708097565965
410372;237;3;1;3;6;1;4;4;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;110,099504274503
410373;237;3;1;3;8;2;4;4;2;2;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;1;127,433312572976
410391;237;3;1;3;12;1;4;4;2;1;1;1;2;2;1;2;2;2;2;2;1;1;1;3;1; ; ;2;111,06709418735
410401;237;1;1;1;12;1;4;2;2;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;117,051407052658
410410;237;2;1;2;10;1;4;1;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;127,199033628264
410429;237;3;1;3;10;1;4;3;5;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1; ; ;2;93,9770692487629
410434;237;1;1;1;7;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;4;1; ; ;2;118,217042515623
410436;237;2;1;2;11;1;3;4;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;5;1; ; ;1;125,708097565965
410436;237;3;1;3;9;1;3;4;9;2;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;2;2;125,708097565965
410438;237;1;1;1;11;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;120,889445419053
410441;237;1;1;1;6;1;4;2;9;1;1;2;2;2;1;2;2;2;2;2;1;1;1;5;1; ; ;2;120,423951459284
410451;237;2;1;2;2;1;7;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;137,341977386053
410452;237;3;1;3;9;1;1;2;2;1;1;2;2;2; ; ; ; ; ;1;1;3;1;1;1; ; ;2;127,375828982009
410459;237;6;1;6;3;2;4;4;2;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;104,21517759674
410461;237;3;1;3;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;119,637471119284
410465;237;1;1;1;9;1;3;4;2;1;1;1;2;2;2;2;2;2;2;1;1;3;1;1;1; ; ;2;121,602242191204
410465;237;2;1;2;4;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;121,602242191204
410471;237;1;1;1;5;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;137,737332485899
410471;237;3;1;3;10;1;3;4;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;137,737332485899
410480;237;4;1;4;4;1;4;4;7;1;2;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;5;2;122,013856371912
410481;237;2;1;2;11;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;110,099504274503
410487;237;3;1;3;11;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;131,024416725704
410499;237;1;1;1;3;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;114,123842409816
410500;237;4;1;4;8;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;134,566068842582
410504;237;1;1;1;11;1;4;1;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;110,527941915163
410507;237;2;1;2;11;1;4;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;129,619794244779
410528;237;2;1;2;11;1;4;2;2;1;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2;121,602242191204
410536;237;3;1;3;3;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;133,647736191999
410536;237;4;1;4;2;1;4;1;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;133,647736191999
410544;237;1;1;1;12;1;4;4;2;1;2;2;2;2;1;2;2;2;2;1;1;2;1;2;1; ; ;1;122,594233154205
410550;237;2;1;2;11;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;110,099504274503
410575;237;2;1;2;3;1;4;3;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2;113,357165858604
410575;237;3;1;3;6;1;4;3;3;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2;113,357165858604
410576;237;2;1;2;2;1;4;2;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;97,6174306637555
410592;237;2;1;2;1;1;4;2;2;1;2;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;133,503939019658
410598;237;4;1;4;10;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2;108,383312904395
410601;237;1;1;1;2;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;122,055080882018
410601;237;2;1;2;4;1;4;3;2;1;2;2;2;2;1;2;2;2;2;1;1;3;1;1;1; ; ;2;122,055080882018
410609;237;2;1;2;12;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;136,946622286207
410618;237;1;1;1;6;1;1;4;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;121,602242191204
410621;237;2;1;2;4;1;4;3;2;1;1;1;2;2;1;2;2;2;2;1;1;4;1;2; ; ; ;2;128,685286872745
410623;237;1;1;1;10;1;4;3;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1; ; ;2;142,218113123933
410625;237;3;1;3;6;1;4;3;5;1;1;2;2;2;1;2;2;2;2;2;1;3;1;5;1; ; ;2;120,963103731471
410639;237;3;1;3;11;1;4;2;5;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;408,710024978548
410650;237;1;1;1;10;1;8;3;3;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;465,299450058741
410653;237;1;1;1;9;1;4;4;2;1;1;2;2;2;2;2;1;2;2;1;1;3;1;2;2;4; ;2;521,951444718053
410653;237;3;1;3;9;1;4;4;2;1;1;1;2;2;2;1;1;2;2;1;1;3;1;5;2;4; ;2;521,951444718053
410656;237;1;1;1;6;1;8;2;3;2;1;2;2;2;2;2;2;2;2;2;1;1;1;6;2;1; ;2;484,519024099657
410659;237;3;1;3;8;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2;1; ; ;2;497,888880378738
410666;237;1;1;1;1;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;504,32432156995
410667;237;1;1;1;11;1;4;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2;495,233434005362
410674;237;1;1;1;7;1;7;3;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2;465,299450058741
410678;237;2;1;2;7;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;4;1; ; ;2;499,4157511481
410678;237;3;1;3;10;2;4;2;9;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;499,4157511481
410688;237;6;1;6;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;9;2;130,002483169258
410702;237;1;1;1;12;2;4;3;2;1;2;2;2;2;2;1;2;2;2;1;1;1;1;5;1; ; ;2;109,95159902793
410711;237;4;1;4;10;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;137,557207825074
410713;237;3;1;3;8;1;7;9;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;9;2;116,174245834954
410717;237;1;1;1;2;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;172,707082122006
410717;237;3;1;3;7;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2;172,707082122006
410719;237;3;1;3;2;1;4;4;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;3;2;2; ;2;98,1076220184314
410723;237;2;1;2;5;1;5;4;2;2;1;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;5;2;117,87774721753
410728;237;1;1;1;12;1;4;2;2;1;2;1;2;2;1;2;2;2;2;2;1;3;1;2;1; ; ;2;97,5955583076422
410729;237;1;1;1;7;1;4;3;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;3;1; ; ;2;104,933146764324
410735;237;3;1;3;3;1;4;3;2;1;1;1;1;2;2;1;2;1;2;2;2; ; ; ; ; ;2;2;109,510490848225
410738;237;2;1;2;12;1;4;4;11;1;1;2;2;2;1;2;2;2;2;1;1;1;1;6;1; ; ;2;125,358671278477
410743;237;1;1;1;9;1;4;3;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1; ; ;2;108,55574879952
410744;237;2;1;2;8;1;4;1;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;5;1; ; ;2;98,3885305971848
410747;237;1;1;1;1;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;127,816368032203
410755;237;1;1;1;6;1;4;3;2;1;2;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ;5;1;102,263566983098
410757;237;2;1;2;4;2;3;2;9;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;97,2214273929599
410761;237;1;1;1;12;1;7;2;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2;121,027245325974
410766;237;1;1;1;11;1;4;3;2;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;106,32884735621
410779;237;1;1;1;4;1;1;1;2;1;2;2;2;2; ; ; ; ; ;2;1;1;2;4;2;1; ;2;121,216385425092
410791;237;1;1;1;11;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;212,65769471242
410794;237;1;1;1;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2;243,042981577042
410796;237;1;1;1;11;1;4;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2; ;2;173,399000034006
410801;237;1;1;1;11;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;1;3;1;5;1; ; ;2;139,365267893523
410801;237;4;1;4;10;1;3;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;139,365267893523
410804;237;1;1;1;2;1;4;4;11;1;1;1;1;2;1;2;2;1;2;1;1;5;1;3; ; ; ;2;108,998427137436
410805;237;1;1;1;9;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;90,9054086134826
410807;237;3;1;3;10;1;4;3;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;5;2;5; ;2;108,929879714202
410817;237;1;1;1;10;1;2;4;6;1;1;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ;3;2;116,994110336433
