DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318
610673;237;1;1;1;48,1078650698569;12;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
610676;237;1;1;1;51,1300311136014;1;2;7;4;8;2;1;1;2;2;2;2;2;2;2;1;1;4; ;5; ; ; ;1
610676;237;3;1;3;51,1300311136014;7;2;7;3;9;1;1;1;1;2;2;2;2;2;2;2;1;1;1;5;2;1; ;2
610676;237;4;1;4;51,1300311136014;2;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;1;2
610680;237;1;2;1;71,8853677857591;8;1;4;3;2;1;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
610681;237;2;1;2;47,5797976557853;6;1;4;4;2;1;2;2;2;2;2;1;2;2;2;1;2; ; ; ; ; ;6;2
610682;237;2;1;2;48,7343631265158;11;1;3;3;7;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1; ; ;2
610684;237;2;1;2;42,2795008564689;10;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
610707;237;3;1;3;56,7773549388331;9;1;4;2;8;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
610716;237;1;1;1;42,9614761334984;2;1;3;4;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;5;1; ; ;2
610720;237;4;1;4;53,288307114024;2;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1; ; ;2
610726;237;1;1;1;51,5537713601981;12;1;7;2;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
610732;237;1;1;1;34,2135376160516;11;1;3;4;2;1;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
610732;237;3;1;3;34,2135376160516;2;1;4;2;2;1;1;1;1;1;2;1;2;1;2;2;1;1;1;4;2;2; ;2
610734;237;3;1;3;38,9517262915625;6;1;5;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
610743;237;3;1;3;39,9678664080751;1;1;4;4;2;1;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
610750;237;2;1;2;49,385235859734;2;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
610751;237;2;1;2;40,2461186930041;12;1;3;3;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
610759;237;1;1;1;43,0131476809342;3;1;1;2;3;1;2;2;2;2; ; ; ; ; ;2;1;1;1;5;1; ; ;2
610761;237;1;1;1;41,7476108633967;6;1;3;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
610763;237;1;1;1;38,6592699676745;2;1;3;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;4;2
610763;237;2;1;2;38,6592699676745;7;1;5;3;2;1;2;2;2;2;2;1;2;1;2;2;1;4; ;6; ; ; ;2
610772;237;2;1;2;42,1737490556449;5;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;3;1;2;1; ; ;1
610773;237;1;1;1;47,6267097120455;2;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
610782;237;1;1;1;36,2372980429959;3;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
610785;237;2;1;2;49,4267783021902;6;1;3;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;1; ;2
610785;237;4;1;4;49,4267783021902;6;1;3;3;2;2;1;1;2;2;2;1;2;2;2;1;1;3;1;2;2;1; ;2
610815;237;1;1;1;286,897347367323;3;1;1;4;8;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
610824;237;2;1;2;601,865835938385;2;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
610824;237;3;1;3;601,865835938385;10;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
610837;237;2;1;2;418,598762405845;7;1;3;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
610852;237;2;1;2;59,888004378362;5;1;7;2;7;2;2;2;1;2;2;2;2;2;2;1;1;4; ;5; ; ; ;2
610854;237;1;1;1;53,2470558742242;8;1;7;4;6;2;1;2;2;2;2;2;2;2;2;2;1;4; ;6; ; ; ;1
610870;237;4;1;4;53,0476722325536;10;1;7;3;2;2;2;1;2;2;2;2;2;2;2;2;1;3;1;5;2;4; ;2
610871;237;1;1;1;64,8826605003293;8;1;7;1;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
610878;237;4;1;4;69,5110714872544;1;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;1;3;1;2;1; ; ;2
610887;237;5;1;5;87,7083362493432;11;1;7;3;11;2;1;1;2;2;2;2;2;2;2;1;1;3;1;5;2;4; ;2
610907;237;1;1;1;62,4256277643459;8;1;7;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;1
610919;237;2;1;2;72,3788510055924;3;1;7;3;8;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ;3;2
610919;237;3;1;3;72,3788510055924;12;1;3;3;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
610921;237;2;1;2;65,8496633122368;4;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;8;2
610982;237;1;1;1;53,8180548749692;10;1;7;9;4;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;1;2
611008;237;2;1;2;520,068485281715;8;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
611026;237;2;1;2;75,8547425908242;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
611054;237;3;1;3;68,0121974067457;9;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
611061;237;1;1;1;81,3009153702526;6;1;1;2;3;2;1;2;2;2; ; ; ; ; ;2;1;4; ;1; ; ; ;2
611073;237;1;1;1;66,6424375145781;6;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
611075;237;5;1;5;53,4309781382513;12;1;4;3;2;2;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
611081;237;1;1;1;109,792186914548;2;1;3;3;3;2;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;7;2
611092;237;2;1;2;78,6588586900761;3;1;3;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
611101;237;2;1;2;63,4561983736583;6;1;4;3;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2; ;2
611163;237;3;1;3;491,833165427443;5;1;4;1;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
611198;237;3;1;3;344,693807121275;4;1;7;3;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
611264;237;1;1;1;61,0454940057841;12;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;1;3;1;4;2;3; ;2
611302;237;3;1;3;67,950457814528;1;1;4;4;4;1;2;2;2;2;1;1;2;1;2;2;2; ; ; ; ; ;6;2
611347;237;2;1;2;189,521618161953;11;1;3;3;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;1;2;4; ;2
611368;237;4;1;4;560,128160926201;2;1;4;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
611376;237;1;1;1;819,239623610174;6;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
611481;237;3;1;3;733,861388626258;10;1;2;4;2;1;2;2;1;2;2;2;2;2;2;1;1;5; ;4; ; ; ;2
611484;237;2;1;2;366,476541819958;10;2;7;3;4;2;1;2;1;2;2;2;2;1;2;2;2; ; ; ; ; ;4;2
611502;237;1;1;1;504,266838183756;2;1;4;2;2;1;1;1;2;2;1;2;2;2;2;2;1;4; ;4; ; ; ;2
611510;237;1;1;1;553,209728912191;8;1;4;4;2;2;2;1;2;2;2;2;1;2;2;1;1;3;1;4;2;1; ;2
611530;237;1;1;1;437,938768881;12;1;7;4;7;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;1;2
611543;237;3;1;3;243,824568079919;6;2;7;3;1;2;1;2;2;2;2;2;2;1;2;1;1;1;1;2;1; ; ;1
611553;237;2;1;2;224,971214908178;11;1;9;1;7;2;1;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1; ;2
611613;237;3;1;3;41,2550593475475;11;1;4;1;2;1;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;1;2
611613;237;1;2;1;41,2550593475475;6;1;4;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
611689;237;1;1;1;62,3182150438248;12;1;4;3;7;2;1;2;2;2;2;2;2;1;2;1;1;3;1;5;1; ; ;2
611702;237;2;1;2;51,1216309300634;12;1;4;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;2;1; ; ;2
611704;237;3;1;3;43,2446606368698;3;1;4;2;2;1;2;2;2;2;1;1;2;2;2;2;2; ; ; ; ; ;3;2
611740;237;2;1;2;40,9914224479634;9;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;7;2
611809;237;3;1;3;121,912742598224;8;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
611810;237;2;1;2;73,391169910756;9;1;4;4;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;2;2
611884;237;1;1;1;107,036676506111;10;1;3;3;7;1;2;2;2;2;2;1;2;1;2;1;2; ; ; ; ; ;4;2
611884;237;2;1;2;107,036676506111;10;1;3;3;7;1;2;2;2;2;2;1;2;1;2;1;2; ; ; ; ; ;4;2
611885;237;2;1;2;77,7268056887829;9;1;4;3;1;1;2;2;2;2;2;1;2;1;2;1;2; ; ; ; ; ;4;2
611885;237;3;1;3;77,7268056887829;10;1;3;4;7;1;2;2;2;2;2;2;2;1;2;1;2; ; ; ; ; ;4;2
611885;237;7;1;7;77,7268056887829;8;1;3;4;7;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
611893;237;1;1;1;43,277207309724;9;1;4;2;7;1;2;2;2;2;2;2;2;1;2;1;2; ; ; ; ; ;4;2
611893;237;2;1;2;43,277207309724;3;1;4;4;7;1;1;2;2;2;2;1;2;1;2;1;2; ; ; ; ; ;4;2
611904;237;1;1;1;54,3359672578173;6;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;4;2
611913;237;1;1;1;70,3751889938218;6;1;7;3;7;2;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
611932;237;1;1;1;58,9008077491418;9;1;3;4;2;1;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;4;2
611939;237;1;1;1;50,2991359681766;9;1;7;4;1;2;2;1;2;2;2;2;1;1;2;2;2; ; ; ; ; ;6;2
611958;237;1;1;1;35,007011359443;9;1;3;3;2;1;2;2;2;2;2;2;2;1;2;1;1;1;1;5;1; ; ;2
611975;237;1;1;1;38,8704681400465;8;1;3;4;2;1;2;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;4;2
611993;237;1;1;1;199,145714055179;3;1;7;1;7;2;2;1;1;2;2;1;2;2;2;2;2; ; ; ; ; ;4;2
612008;237;2;1;2;357,414888878681;5;1;3;4;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;5;1; ; ;1
612010;237;2;1;2;378,860959780793;1;1;3;4;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
612013;237;1;1;1;111,713823038083;9;1;3;4;8;1;2;2;2;2;2;2;2;2;2;1;1;1;1;4;2;1; ;2
612014;237;1;1;1;260,326508559263;9;1;3;2;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612017;237;1;1;1;206,700524822385;1;1;7;2;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;8;2
612020;237;1;1;1;60,1006843694914;9;1;7;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2
612033;237;1;1;1;35,6510432421687;12;1;1;1;1;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
612063;237;2;1;2;15,8175596052315;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
612106;237;1;1;1;157,426244900797;2;1;4;3;5;1;2;2;2;2;1;2;2;2;2;2;1;4; ;2; ; ; ;2
612151;237;1;1;1;564,869695652762;6;1;4;3;9;2;1;2;2;2;1;2;2;2;2;2;1;1;1;4;1; ; ;2
612152;237;3;1;3;646,410849095055;7;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
612156;237;1;1;1;711,759769320231;3;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
612157;237;1;1;1;687,124727110652;8;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
612157;237;4;1;4;687,124727110652;12;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;1;4; ;2; ; ; ;2
612160;237;2;1;2;520,027716001165;9;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;8;2
612165;237;1;1;1;800,289407278644;5;2;1;3;5;1;2;2;2;2; ; ; ; ; ;2;1;1;1;5;1; ; ;2
612206;237;2;2;2;931,150036693667;1;1;4;1;2;1;2;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;6;2
612216;237;1;1;1;129,216183790061;10;1;7;3;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
612219;237;1;1;1;112,766513999629;5;1;4;2;5;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
612226;237;1;1;1;126,930938884144;12;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
612233;237;2;1;2;125,798670518257;6;1;4;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1; ; ;2
612233;237;3;1;3;125,798670518257;2;1;4;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1; ; ;2
612237;237;1;1;1;117,780011646615;9;1;4;3;2;1;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;6;2
612346;237;2;1;2;279,817824059182;2;1;4;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612390;237;1;1;1;1231,24625655339;6;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1; ; ;1
612391;237;1;1;1;1417,6656282221;12;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;5;2;1; ;2
612394;237;1;1;1;1009,43664517174;11;1;4;2;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;4;2;2; ;2
612396;237;2;1;2;1623,77536050578;8;1;3;2;2;1;2;2;2;2;2;1;2;2;2;1;1;4; ;4; ; ; ;2
612400;237;2;1;2;1361,07434059495;2;1;4;2;3;1;1;2;2;2;2;1;2;2;2;2;1;1;2;5;2;3; ;2
612432;237;1;1;1;623,268434025436;12;1;1;3;5;1;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
612432;237;4;1;4;623,268434025436;11;1;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;1;2
612439;237;1;1;1;1127,46691050321;3;1;4;3;5;1;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;7;2
612441;237;2;1;2;1377,17775618928;6;1;1;2;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
612445;237;3;1;3;1345,92408641305;10;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;7;2
612452;237;1;1;1;1208,43693012954;7;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;4;2
612453;237;1;1;1;1120,52015751076;6;1;3;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;7;2
612454;237;1;1;1;1114,90249087158;4;1;4;2;2;1;1;2;2;2;2;1;2;2;2;1;1;2;1;2;2;1; ;2
612462;237;1;1;1;1119,82231522098;6;1;4;2;2;1;2;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ;6;2
612467;237;1;1;1;1060,03413020573;4;1;4;2;2;1;1;2;2;2;2;1;2;1;2;2;1;3;1;3;2;2; ;2
612468;237;2;1;2;1299,02028840462;9;1;7;2;7;2;1;1;2;2;2;2;2;2;2;2;1;3;1;4;2;3; ;2
612470;237;4;1;4;1206,64294098447;12;1;1;1;1;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;4;2
612480;237;1;1;1;1759,62190786707;10;2;3;1;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2
612486;237;5;1;5;1267,54050969989;1;2;2;1;11;1;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2
612490;237;1;1;1;1202,71555926872;11;1;7;3;4;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2
612492;237;2;1;2;855,628277387348;6;2;4;2;5;1;1;1;2;2;2;1;2;1;2;1;1;3;1;5;1; ; ;2
612501;237;3;1;3;1322,91012724105;6;2;1;2;5;1;1;2;2;2; ; ; ; ; ;1;1;1;1;5;1; ; ;2
612503;237;1;1;1;1207,32591701753;1;2;3;1;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;1;2
612512;237;3;1;3;983,906809105363;10;1;3;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;4;2
612522;237;1;1;1;2015,14286214316;5;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612555;237;2;1;2;61,5283888832574;1;1;7;2;2;2;1;2;2;2;2;2;2;2;2;2;1;5; ;1; ; ; ;2
612560;237;1;1;1;121,320372177476;11;1;2;3;7;1;1;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ;3;2
612581;237;1;1;1;57,2189625552188;3;1;7;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;1;2
612592;237;1;1;1;48,0996452047901;3;1;3;2;2;1;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
612598;237;2;1;2;49,0894064297752;8;1;4;3;7;2;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;2;2
612602;237;2;1;2;106,649207397646;9;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612609;237;1;1;1;72,8416443532758;6;1;3;3;2;1;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
612610;237;1;1;1;79,9869055482346;12;1;1;2;2;2;1;2;2;2; ; ; ; ; ;2;1;4; ;6; ; ; ;1
612616;237;1;1;1;63,0929234535866;9;1;7;4;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1; ; ;2
612643;237;1;1;1;86,8543573543296;12;1;7;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;4;2
612663;237;1;1;1;62,8705376127363;12;2;7;1;2;1;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612671;237;4;1;4;68,5040983307235;11;1;7;4;6;2;1;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ;6;2
612682;237;1;1;1;68,0479151740741;6;1;4;2;2;2;1;2;2;2;2;1;2;2;2;1;1;1;1;2;1; ; ;1
612688;237;1;1;1;507,811859447022;3;1;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612693;237;1;1;1;1020,37362848139;12;1;7;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612693;237;2;1;2;1020,37362848139;8;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;1;4; ;4; ; ; ;2
612705;237;3;1;3;158,231531428824;12;1;3;4;2;2;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612705;237;1;1;1;158,231531428824;8;1;4;2;2;1;1;1;2;2;1;2;2;2;2;2;1;3;1;4;2;2; ;2
612721;237;1;1;1;724,840201814062;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;1;2
612725;237;1;1;1;63,0873962185445;9;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;4;2
612742;237;1;1;1;103,822568833579;4;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
612743;237;1;1;1;98,2418590788779;11;1;2;4;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612744;237;2;1;2;140,353929748084;6;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
612744;237;3;1;3;140,353929748084;6;1;4;2;5;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
612751;237;2;1;2;85,8219592471829;5;2;3;2;5;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
612762;237;1;1;1;81,7954887133891;12;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
612773;237;2;1;2;70,6367350133413;6;1;3;2;5;2;2;1;2;2;2;2;2;1;2;2;1;2;2;5;1; ; ;2
612778;237;1;1;1;107,366560295939;3;1;7;4;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
612789;237;1;1;1;86,9542832965906;2;1;4;3;1;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
612810;237;2;1;2;92,904429957446;5;2;3;3;2;1;2;2;2;2;2;2;2;1;2;2;1;4; ;5; ; ; ;2
612853;237;2;1;2;88,4125699213586;8;1;4;3;5;1;2;2;2;2;1;1;2;1;2;1;1;4; ;5; ; ; ;2
612862;237;4;1;4;104,941707618449;10;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
612869;237;3;1;3;122,245138547328;12;1;4;4;2;1;1;2;2;2;1;2;2;1;2;2;2; ; ; ; ; ;8;2
612883;237;1;1;1;31,4928376384028;1;2;4;4;10;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
612890;237;1;1;1;27,9752294392488;9;1;8;3;1;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
612892;237;1;1;1;108,90276409315;12;1;4;3;3;1;1;2;2;2;1;2;2;2;2;2;1;1;1;5;2;3; ;2
612924;237;1;1;1;22,7879201669119;12;2;3;3;2;1;1;1;2;2;2;2;2;1;2;1;1;4; ;2; ; ; ;2
612931;237;1;1;1;122,100285553825;2;2;4;3;2;1;1;2;2;2;2;1;2;2;2;2;1;5; ;6; ; ; ;2
612945;237;4;1;4;259,790900351624;4;1;4;4;2;1;2;2;2;2;2;1;2;2;2;1;1;3;1;5;2;1; ;2
612958;237;1;1;1;341,519428046862;12;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
612966;237;2;1;2;272,089988428412;3;1;4;2;1;1;2;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;7;2
612969;237;1;1;1;267,479258981361;8;1;4;3;2;1;2;1;2;1;2;1;2;2;2;2;1;2;2;5;2;2; ;2
612977;237;1;1;1;521,564339909841;8;1;4;4;2;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
612980;237;1;1;1;287,766852638978;1;1;7;1;1;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
612980;237;2;1;2;287,766852638978;4;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;1;4; ;5; ; ; ;2
613004;237;1;1;1;378,494288962544;10;1;4;2;7;1;1;2;2;2;1;2;2;2;2;1;1;5; ;6; ; ; ;2
613007;237;1;1;1;281,787037017868;2;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;1;4; ;6; ; ; ;2
613027;237;5;1;5;679,599942580879;10;1;4;4;6;1;2;2;2;2;2;1;2;2;2;2;1;3;1;3;1; ; ;2
613055;237;3;1;3;679,094965907284;3;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;1;2
613071;237;1;1;1;1011,17472811313;10;1;7;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
613088;237;4;1;4;42,2804875511469;1;1;4;2;4;2;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;3;2
613095;237;1;1;1;56,6962341929886;6;1;4;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;5; ;2
613095;237;2;1;2;56,6962341929886;2;1;3;3;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;6;1; ; ;2
613100;237;1;1;1;48,4780563112414;12;1;3;1;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;1;2
613107;237;3;1;3;48,4780563112414;7;1;1;3;2;1;1;2;2;2; ; ; ; ; ;2;1;4; ;5; ; ; ;2
613108;237;2;1;2;59,7915417709433;10;1;4;4;2;1;1;1;2;2;2;1;2;2;2;2;1;2;1;4;2;3; ;1
613110;237;3;1;3;36,1195140830991;6;1;4;1;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;1
613112;237;1;1;1;55,9291202706563;2;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
613115;237;1;1;1;34,9262537888334;11;1;4;4;2;1;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;3;2
613123;237;1;1;1;33,6830237092138;5;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
613130;237;3;1;3;34,3595547408849;1;1;3;3;2;1;2;2;2;2;2;2;2;2;2;1;1;4; ;5; ; ; ;2
613135;237;1;1;1;48,95421983534;10;1;4;2;2;1;1;2;1;2;2;1;2;2;2;2;2; ; ; ; ; ;1;2
613141;237;1;1;1;31,5786795094377;3;1;3;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;4;2
613146;237;4;1;4;39,3717940395381;7;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;1;2
613147;237;1;1;1;48,28781186775;2;1;3;3;2;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
613149;237;4;1;4;41,9812107839724;9;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
613149;237;5;1;5;41,9812107839724;8;1;1;2;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
613149;237;6;1;6;41,9812107839724;1;1;4;2;4;2;1;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ;3;2
613154;237;2;1;2;42,9614761334984;12;1;3;4;3;1;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
613155;237;3;1;3;43,3434168997189;6;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2
613168;237;4;1;4;45,1977491426445;4;2;4;3;2;1;2;2;2;2;2;1;2;2;2;1;1;1;1;5;1; ; ;1
