DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318
599551;237;1;1;1;895,079512551536;6;1;7;3;3;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;8;2
599613;237;2;1;2;82,0223133750724;12;1;4;9;7;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
599613;237;4;1;4;82,0223133750724;12;1;7;3;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1; ; ;2
599624;237;2;1;2;346,689715358466;9;1;4;3;2;1;1;2;2;2;1;1;2;2;2;2;2; ; ; ; ; ;6;2
599648;237;3;1;3;266,70711031884;9;1;4;3;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;1
599651;237;3;1;3;124,985817987671;12;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;2;2
599668;237;1;1;1;169,90748147596;6;1;4;4;5;1;1;2;2;2;1;2;2;2;2;2;1;1;1;4;2;3; ;2
599674;237;2;1;2;96,5828101933436;4;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
599693;237;1;1;1;75,0915709806873;7;1;4;3;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599696;237;1;1;1;173,48098267415;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;4;2
599698;237;1;1;1;127,726421474314;9;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2
599699;237;2;1;2;246,845533775239;3;1;4;3;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
599700;237;1;1;1;63,5390215990431;3;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
599717;237;1;1;1;154,573591399654;4;1;2;4;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;4;2;4; ;2
599746;237;1;1;1;217,831481084583;3;1;4;4;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
599760;237;1;1;1;75,0915709806873;10;1;4;4;7;1;2;2;2;2;1;1;2;2;1;1;2; ; ; ; ; ;2;2
599766;237;3;1;3;105,379322766316;4;1;4;3;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599782;237;1;1;1;116,779263708976;5;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;1;2
599788;237;1;1;1;278,44249249144;11;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599796;237;1;1;1;267,450765222786;10;1;4;2;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599801;237;3;1;3;162,726150928259;8;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599819;237;2;1;2;104,773182436537;8;1;4;4;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;6;2;3; ;2
599824;237;1;1;1;79,7824127018752;2;1;3;3;2;1;1;2;2;2;1;1;1;2;2;1;2; ; ; ; ; ;3;2
599826;237;5;1;5;227,857878490702;12;1;4;3;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;1; ; ;2
599860;237;1;1;1;113,481828425089;11;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
599861;237;3;1;3;156,949946186483;11;1;3;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599871;237;4;1;4;140,70889774389;12;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
599883;237;2;1;2;156,949946186483;7;1;4;4;2;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599884;237;2;1;2;87,0499069056328;9;1;3;4;7;1;2;2;2;2;1;2;2;2;2;2;1;3;1;5;2;1; ;2
599960;237;1;1;1;131,31552787747;5;1;4;2;7;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599962;237;3;1;3;205,351837809699;12;1;4;3;2;2;1;2;2;2;1;2;2;2;2;2;1;1;1;5;1; ; ;2
599994;237;1;1;1;769,977623610195;2;1;4;4;6;1;2;2;2;2;2;1;2;2;2;1;1;1;1;2;1; ; ;2
600005;237;1;1;1;473,150954290855;6;1;4;4;8;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1; ; ;2
600019;237;1;1;1;898,272745705603;3;1;4;3;2;2;1;2;2;2;2;1;2;2;2;1;1;1;1;4;1; ; ;2
600023;237;1;1;1;1093,57628183526;12;1;5;4;1;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2
600036;237;1;1;1;300,197407625356;11;1;1;4;2;1;2;2;2;2; ; ; ; ; ;1;1;1;1;2;2;3; ;2
600059;237;1;1;1;232,004415948368;12;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
600060;237;2;1;2;1786,43400280243;11;1;4;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;2;1; ; ;2
600066;237;1;1;1;331,092120736679;2;1;4;4;2;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;1; ;2
600067;237;1;1;1;1965,07740308268;12;1;4;4;2;1;1;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2
600082;237;3;1;3;117,213488129172;10;1;7;4;2;1;1;1;2;2;2;1;2;2;2;1;1;3;2;4;1; ; ;2
600095;237;1;1;1;108,078921152821;6;1;3;4;7;1;2;1;1;2;2;1;2;2;2;1;1;1;1;5;1; ; ;1
600098;237;1;1;1;161,973273769209;8;1;3;4;2;1;1;1;2;2;2;2;2;2;2;1;1;4; ;2; ; ; ;2
600115;237;4;1;4;1272,96880726462;1;1;1;2;3;1;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;1;2
600116;237;3;1;3;1172,27666110551;1;2;4;4;2;1;1;1;1;2;2;1;2;2;2;1;1;1;1;5;1; ; ;1
600119;237;4;1;4;1683,22853668623;8;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600122;237;3;1;3;1466,28873084244;12;1;4;4;2;1;1;1;2;2;1;1;2;2;2;2;2; ; ; ; ; ;3;2
600123;237;1;1;1;1197,09058409019;10;1;3;3;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
600127;237;2;1;2;1402,80797116041;12;1;3;3;2;1;2;2;2;2;2;1;2;2;2;2;1;4; ;1; ; ; ;2
600131;237;1;1;1;1602,19200068488;4;1;4;2;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
600132;237;1;1;1;1356,39847060116;5;1;3;3;6;2;1;2;2;2;2;2;2;2;2;2;1;3;1;1;1; ; ;2
600135;237;2;1;2;1497,98305176022;10;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600139;237;1;1;1;1348,1847465842;11;1;4;3;2;1;1;1;2;2;1;2;2;1;2;2;2; ; ; ; ; ;3;2
600139;237;2;1;2;1348,1847465842;11;1;4;3;2;1;1;1;2;2;1;1;2;1;2;2;2; ; ; ; ; ;3;2
600143;237;4;1;4;1791,57683245512;8;1;3;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
600155;237;3;1;3;1469,61154847216;2;1;4;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600161;237;1;1;1;1099,94680452954;2;1;1;3;9;2;1;1;2;2; ; ; ; ; ;2;1;3;1;4;2;1; ;2
600169;237;1;1;1;1026,03854712782;7;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;1;4; ;4; ; ; ;2
600170;237;1;1;1;956,486164340365;1;1;7;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
600174;237;1;1;1;1117,61376399556;10;1;9;4;4;1;1;2;2;2;2;2;2;2;1;2;1;4; ;4; ; ; ;2
600184;237;1;1;1;1101,42818026932;10;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
600196;237;2;1;2;33,1771631948023;6;1;4;3;2;1;1;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ;3;2
600218;237;2;1;2;384,608157375041;8;2;1;2;5;2;1;2;2;2; ; ; ; ; ;2;1;1;1;2;1; ; ;2
600223;237;2;1;2;74,0964009723907;12;1;4;4;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
600224;237;1;1;1;59,282392786203;2;1;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2
